stationID,Date,Time,PM2.5,PM10,O3,CO,NO2,SO2
52t,05/03/2019,14:00:00,22,43,44,0.45,2,-
52t,05/03/2019,15:00:00,23,42,37,0.57,6,-
52t,05/03/2019,16:00:00,27,42,35,0.63,9,-
52t,05/03/2019,17:00:00,22,47,32,0.68,9,-
52t,05/03/2019,18:00:00,27,48,33,0.63,8,-
52t,05/03/2019,19:00:00,27,47,33,0.61,6,-
52t,05/03/2019,20:00:00,24,40,31,0.53,3,-
52t,05/03/2019,21:00:00,27,34,30,0.51,3,-
52t,05/03/2019,22:00:00,23,37,31,0.46,1,-
52t,05/03/2019,23:00:00,21,32,31,0.42,-,-
52t,06/03/2019,00:00:00,16,33,35,0.4,-,-
52t,06/03/2019,01:00:00,24,33,34,0.42,-,-
52t,06/03/2019,02:00:00,20,35,-,-,-,-
52t,06/03/2019,03:00:00,29,36,27,0.48,-,-
52t,06/03/2019,04:00:00,25,36,15,0.57,6,1
52t,06/03/2019,05:00:00,38,58,5,0.77,14,2
52t,06/03/2019,06:00:00,46,69,3,0.99,15,2
52t,06/03/2019,07:00:00,48,69,3,1.33,15,2
52t,06/03/2019,08:00:00,47,75,8,1.34,20,2
52t,06/03/2019,09:00:00,45,71,20,0.84,18,1
52t,06/03/2019,10:00:00,35,54,36,0.67,17,2
52t,06/03/2019,11:00:00,33,53,53,0.51,11,1
52t,06/03/2019,12:00:00,32,55,45,0.44,7,1
52t,06/03/2019,13:00:00,20,36,47,0.49,5,1
52t,06/03/2019,14:00:00,26,41,40,0.46,4,1
52t,06/03/2019,15:00:00,23,38,35,0.57,7,1
52t,06/03/2019,16:00:00,24,36,26,0.76,13,1
52t,06/03/2019,17:00:00,25,41,21,0.82,10,1
52t,06/03/2019,18:00:00,25,41,18,0.73,6,-
52t,06/03/2019,19:00:00,17,37,19,0.57,2,-
52t,06/03/2019,20:00:00,16,33,18,0.5,1,-
52t,06/03/2019,21:00:00,16,33,17,0.44,-,-
52t,06/03/2019,22:00:00,20,29,19,0.42,-,-
52t,06/03/2019,23:00:00,14,27,20,0.4,-,-
52t,07/03/2019,00:00:00,12,23,22,0.36,-,-
52t,07/03/2019,01:00:00,12,24,-,-,-,-
52t,07/03/2019,02:00:00,10,19,22,0.36,-,-
52t,07/03/2019,03:00:00,14,19,19,0.36,-,-
52t,07/03/2019,04:00:00,10,21,16,0.41,-,-
52t,07/03/2019,05:00:00,13,25,13,0.47,-,-
52t,07/03/2019,06:00:00,15,25,5,0.69,6,-
52t,07/03/2019,07:00:00,20,38,7,0.78,6,-
52t,07/03/2019,08:00:00,17,40,15,0.64,2,-
52t,07/03/2019,09:00:00,20,31,19,0.53,4,-
52t,07/03/2019,10:00:00,21,30,25,0.46,5,-
52t,07/03/2019,11:00:00,18,28,26,0.47,1,-
52t,07/03/2019,12:00:00,18,29,26,0.44,1,-
52t,07/03/2019,13:00:00,18,29,27,0.42,1,-
52t,07/03/2019,14:00:00,14,27,26,0.46,1,-
52t,07/03/2019,15:00:00,16,24,27,0.44,1,-
52t,07/03/2019,16:00:00,15,26,21,0.58,5,-
52t,07/03/2019,17:00:00,16,23,18,0.69,7,-
52t,07/03/2019,18:00:00,15,30,12,0.82,12,-
52t,07/03/2019,19:00:00,17,27,7,0.91,13,-
52t,07/03/2019,20:00:00,24,35,8,0.7,10,-
52t,07/03/2019,21:00:00,17,56,12,0.48,4,-
52t,07/03/2019,22:00:00,15,30,11,0.45,5,-
52t,07/03/2019,23:00:00,18,29,14,0.39,-,-
52t,08/03/2019,00:00:00,17,23,-,-,-,-
52t,08/03/2019,01:00:00,9,20,21,0.36,-,-
52t,08/03/2019,02:00:00,11,21,21,0.35,-,-
52t,08/03/2019,03:00:00,11,24,20,0.35,-,-
52t,08/03/2019,04:00:00,12,21,18,0.39,-,-
52t,08/03/2019,05:00:00,15,29,12,0.49,4,-
52t,08/03/2019,06:00:00,18,30,5,0.73,10,-
52t,08/03/2019,07:00:00,23,37,8,0.89,9,-
52t,08/03/2019,08:00:00,24,38,15,0.76,5,-
52t,08/03/2019,09:00:00,17,29,20,0.58,5,-
52t,08/03/2019,10:00:00,15,33,21,0.55,4,-
52t,08/03/2019,11:00:00,19,38,25,0.48,1,-
52t,08/03/2019,12:00:00,17,35,27,0.45,1,-
52t,08/03/2019,13:00:00,18,32,26,0.49,1,-
52t,08/03/2019,14:00:00,18,36,24,0.52,2,-
52t,08/03/2019,15:00:00,14,24,24,0.52,1,-
52t,08/03/2019,16:00:00,15,24,25,0.55,2,-
52t,08/03/2019,17:00:00,12,26,19,0.65,5,-
52t,08/03/2019,18:00:00,14,27,9,0.93,15,-
52t,08/03/2019,19:00:00,18,36,10,0.76,12,-
52t,08/03/2019,20:00:00,17,32,16,0.57,6,-
52t,08/03/2019,21:00:00,21,29,19,0.5,4,-
52t,08/03/2019,22:00:00,19,31,18,0.44,2,-
52t,08/03/2019,23:00:00,18,31,-,-,-,-
52t,09/03/2019,00:00:00,13,25,24,0.4,-,-
52t,09/03/2019,01:00:00,17,29,25,0.38,-,-
52t,09/03/2019,02:00:00,16,28,28,0.37,-,-
52t,09/03/2019,03:00:00,13,26,27,0.41,-,-
52t,09/03/2019,04:00:00,15,25,26,0.38,-,-
52t,09/03/2019,05:00:00,15,26,21,0.43,-,-
52t,09/03/2019,06:00:00,20,29,18,0.51,3,-
52t,09/03/2019,07:00:00,21,31,17,0.6,5,-
52t,09/03/2019,08:00:00,17,34,23,0.53,3,-
52t,09/03/2019,09:00:00,16,35,27,0.44,1,-
52t,09/03/2019,10:00:00,18,30,28,0.46,1,-
52t,09/03/2019,11:00:00,16,25,29,0.44,-,-
52t,09/03/2019,12:00:00,15,28,30,0.38,1,-
52t,09/03/2019,13:00:00,13,26,29,0.36,-,-
52t,09/03/2019,14:00:00,12,26,30,0.37,-,-
52t,09/03/2019,15:00:00,11,28,30,0.41,1,-
52t,09/03/2019,16:00:00,14,28,27,0.47,2,-
52t,09/03/2019,17:00:00,16,28,20,0.66,6,-
52t,09/03/2019,18:00:00,15,29,14,0.78,11,-
52t,09/03/2019,19:00:00,21,32,17,0.57,6,-
52t,09/03/2019,20:00:00,16,31,19,0.46,2,-
52t,09/03/2019,21:00:00,12,29,17,0.43,2,-
52t,09/03/2019,22:00:00,11,26,-,-,-,-
52t,09/03/2019,23:00:00,15,28,24,0.36,-,-
52t,10/03/2019,00:00:00,14,22,25,0.34,-,-
52t,10/03/2019,01:00:00,15,23,23,0.34,-,-
52t,10/03/2019,02:00:00,8,26,22,0.35,-,-
52t,10/03/2019,03:00:00,12,27,20,0.37,-,-
52t,10/03/2019,04:00:00,17,26,20,0.38,-,-
52t,10/03/2019,05:00:00,11,25,18,0.43,-,-
52t,10/03/2019,06:00:00,13,22,12,0.56,6,-
52t,10/03/2019,07:00:00,16,30,13,0.62,8,-
52t,10/03/2019,08:00:00,19,32,23,0.49,-,-
52t,10/03/2019,09:00:00,17,29,26,0.43,1,-
52t,10/03/2019,10:00:00,16,31,29,0.38,-,-
52t,10/03/2019,11:00:00,16,26,29,0.4,1,-
52t,10/03/2019,12:00:00,16,32,33,0.39,1,-
52t,10/03/2019,13:00:00,15,30,31,0.46,1,-
52t,10/03/2019,14:00:00,19,36,33,0.46,-,-
52t,10/03/2019,15:00:00,13,30,28,0.48,1,-
52t,10/03/2019,16:00:00,18,48,24,0.58,3,-
52t,10/03/2019,17:00:00,13,31,20,0.72,9,1
52t,10/03/2019,18:00:00,26,41,17,0.62,7,-
52t,10/03/2019,19:00:00,19,34,18,0.52,2,-
52t,10/03/2019,20:00:00,25,30,14,0.44,1,-
52t,10/03/2019,21:00:00,18,28,-,-,-,-
52t,10/03/2019,22:00:00,12,27,19,0.36,-,-
52t,10/03/2019,23:00:00,12,23,17,0.35,-,-
52t,11/03/2019,00:00:00,14,23,20,0.33,-,-
52t,11/03/2019,01:00:00,14,19,19,0.32,-,-
52t,11/03/2019,02:00:00,10,23,18,0.33,-,-
52t,11/03/2019,03:00:00,9,19,18,0.36,-,-
52t,11/03/2019,04:00:00,11,22,11,0.45,1,-
52t,11/03/2019,05:00:00,14,22,-,-,-,-
52t,11/03/2019,06:00:00,15,29,1,0.83,12,-
